fecha,producto_id,cantidad_vendida,precio,stock_actual
2025-09-01,PROD-001,6,1265.24,72
2025-09-01,PROD-002,15,50.5,41
2025-09-01,PROD-003,7,132.61,113
2025-09-01,PROD-004,4,446.37,108
2025-09-01,PROD-005,6,82.94,101
2025-09-01,PROD-006,12,41.02,73
2025-09-01,PROD-007,8,195.55,68
2025-09-01,PROD-008,25,19.42,164
2025-09-01,PROD-009,0,59.27,72
2025-09-01,PROD-010,0,14.78,158
2025-09-02,PROD-001,5,1240.64,67
2025-09-02,PROD-002,17,49.79,24
2025-09-02,PROD-003,16,124.51,97
2025-09-02,PROD-004,6,440.68,102
2025-09-02,PROD-005,4,78.88,97
2025-09-02,PROD-006,6,38.76,67
2025-09-02,PROD-007,9,205.45,59
2025-09-02,PROD-008,23,20.96,141
2025-09-02,PROD-009,0,59.27,72
2025-09-02,PROD-010,0,14.92,158
2025-09-03,PROD-001,6,1281.18,61
2025-09-03,PROD-002,12,50.84,12
2025-09-03,PROD-003,10,124.42,87
2025-09-03,PROD-004,3,456.06,99
2025-09-03,PROD-005,6,79.69,91
2025-09-03,PROD-006,11,39.07,56
2025-09-03,PROD-007,9,194.38,50
2025-09-03,PROD-008,15,19.64,126
2025-09-03,PROD-009,0,61.92,72
2025-09-03,PROD-010,0,15.45,158
2025-09-04,PROD-001,5,1353.7,56
2025-09-04,PROD-002,15,50.33,0
2025-09-04,PROD-003,11,129.98,76
2025-09-04,PROD-004,3,467.3,96
2025-09-04,PROD-005,7,77.11,84
2025-09-04,PROD-006,10,40.97,46
2025-09-04,PROD-007,3,198.56,47
2025-09-04,PROD-008,17,20.16,109
2025-09-04,PROD-009,0,57.82,72
2025-09-04,PROD-010,0,14.98,158
2025-09-05,PROD-001,6,1254.86,50
2025-09-05,PROD-002,6,48.29,0
2025-09-05,PROD-003,10,128.49,66
2025-09-05,PROD-004,3,454.3,93
2025-09-05,PROD-005,6,80.42,78
2025-09-05,PROD-006,12,41.76,34
2025-09-05,PROD-007,6,207.69,41
2025-09-05,PROD-008,17,20.49,92
2025-09-05,PROD-009,0,58.75,72
2025-09-05,PROD-010,0,14.48,158
2025-09-06,PROD-001,10,1328.55,40
2025-09-06,PROD-002,19,52.35,0
2025-09-06,PROD-003,15,124.87,51
2025-09-06,PROD-004,4,455.63,89
2025-09-06,PROD-005,11,77.58,67
2025-09-06,PROD-006,12,39.49,22
2025-09-06,PROD-007,11,208.44,30
2025-09-06,PROD-008,38,20.83,54
2025-09-06,PROD-009,0,57.66,72
2025-09-06,PROD-010,0,14.78,158
2025-09-07,PROD-001,10,1266.12,30
2025-09-07,PROD-002,18,48.69,0
2025-09-07,PROD-003,14,133.0,37
2025-09-07,PROD-004,6,464.21,83
2025-09-07,PROD-005,13,77.0,54
2025-09-07,PROD-006,14,40.63,8
2025-09-07,PROD-007,10,200.54,20
2025-09-07,PROD-008,24,20.2,30
2025-09-07,PROD-009,0,61.52,72
2025-09-07,PROD-010,0,15.27,158
2025-09-08,PROD-001,5,1319.47,97
2025-09-08,PROD-002,10,51.99,58
2025-09-08,PROD-003,9,127.89,62
2025-09-08,PROD-004,5,453.96,78
2025-09-08,PROD-005,8,76.56,46
2025-09-08,PROD-006,14,38.23,70
2025-09-08,PROD-007,7,191.41,64
2025-09-08,PROD-008,20,19.55,55
2025-09-08,PROD-009,0,61.33,72
2025-09-08,PROD-010,0,15.56,158
2025-09-09,PROD-001,5,1296.48,92
2025-09-09,PROD-002,13,49.53,45
2025-09-09,PROD-003,15,128.1,47
2025-09-09,PROD-004,5,445.99,73
2025-09-09,PROD-005,8,81.22,38
2025-09-09,PROD-006,11,40.57,59
2025-09-09,PROD-007,10,206.0,54
2025-09-09,PROD-008,23,19.21,32
2025-09-09,PROD-009,0,57.83,72
2025-09-09,PROD-010,0,14.52,158
2025-09-10,PROD-001,3,1244.79,89
2025-09-10,PROD-002,17,51.53,28
2025-09-10,PROD-003,12,131.97,35
2025-09-10,PROD-004,4,451.82,69
2025-09-10,PROD-005,9,82.02,29
2025-09-10,PROD-006,12,38.94,47
2025-09-10,PROD-007,4,207.28,50
2025-09-10,PROD-008,23,20.79,9
2025-09-10,PROD-009,0,59.33,72
2025-09-10,PROD-010,0,15.63,158
2025-09-11,PROD-001,6,1325.55,83
2025-09-11,PROD-002,11,51.14,17
2025-09-11,PROD-003,12,129.82,23
2025-09-11,PROD-004,3,436.04,66
2025-09-11,PROD-005,8,81.88,21
2025-09-11,PROD-006,13,38.23,34
2025-09-11,PROD-007,6,199.53,44
2025-09-11,PROD-008,21,20.83,0
2025-09-11,PROD-009,0,60.04,72
2025-09-11,PROD-010,0,15.52,158
2025-09-12,PROD-001,6,1347.03,77
2025-09-12,PROD-002,15,49.51,2
2025-09-12,PROD-003,15,131.02,8
2025-09-12,PROD-004,4,429.28,62
2025-09-12,PROD-005,11,80.51,10
2025-09-12,PROD-006,14,39.26,20
2025-09-12,PROD-007,6,196.27,38
2025-09-12,PROD-008,28,19.52,0
2025-09-12,PROD-009,0,59.73,72
2025-09-12,PROD-010,0,15.63,158
2025-09-13,PROD-001,7,1315.74,70
2025-09-13,PROD-002,19,50.3,0
2025-09-13,PROD-003,18,130.07,0
2025-09-13,PROD-004,7,433.45,55
