fecha,producto_id,cantidad_vendida,precio,stock_actual
2024-01-01,Milk-1L,108,1.5,206
2024-01-01,Bread-White,87,2.0,662
2024-01-01,Egg-Carton,133,3.5,381
2024-01-02,Milk-1L,100,1.5,281
2024-01-02,Bread-White,56,2.0,451
2024-01-02,Egg-Carton,53,3.5,386
2024-01-03,Milk-1L,135,1.5,725
2024-01-03,Bread-White,80,2.0,465
2024-01-03,Egg-Carton,122,3.5,775
2024-01-04,Milk-1L,56,1.5,590
2024-01-04,Bread-White,69,2.0,677
2024-01-04,Egg-Carton,76,3.5,248
2024-01-05,Milk-1L,73,1.5,631
2024-01-05,Bread-White,127,2.0,180
2024-01-05,Egg-Carton,107,3.5,705
2024-01-06,Milk-1L,95,1.5,501
2024-01-06,Bread-White,125,2.0,776
2024-01-06,Egg-Carton,76,3.5,674
2024-01-07,Milk-1L,127,1.5,685
2024-01-07,Bread-White,111,2.0,405
2024-01-07,Egg-Carton,86,3.5,575
2024-01-08,Milk-1L,60,1.5,182
2024-01-08,Bread-White,105,2.0,321
2024-01-08,Egg-Carton,77,3.5,299
2024-01-09,Milk-1L,77,1.5,499
2024-01-09,Bread-White,128,2.0,683
2024-01-09,Egg-Carton,77,3.5,574
2024-01-10,Milk-1L,78,1.5,527
2024-01-10,Bread-White,74,2.0,728
2024-01-10,Egg-Carton,52,3.5,700
2024-01-11,Milk-1L,104,1.5,120
2024-01-11,Bread-White,77,2.0,195
2024-01-11,Egg-Carton,81,3.5,191
2024-01-12,Milk-1L,140,1.5,618
2024-01-12,Bread-White,92,2.0,539
2024-01-12,Egg-Carton,101,3.5,733
2024-01-13,Milk-1L,93,1.5,557
2024-01-13,Bread-White,108,2.0,445
2024-01-13,Egg-Carton,141,3.5,425
2024-01-14,Milk-1L,118,1.5,304
2024-01-14,Bread-White,79,2.0,129
2024-01-14,Egg-Carton,96,3.5,603
2024-01-15,Milk-1L,94,1.5,233
2024-01-15,Bread-White,86,2.0,532
2024-01-15,Egg-Carton,100,3.5,412
2024-01-16,Milk-1L,95,1.5,198
2024-01-16,Bread-White,50,2.0,462
2024-01-16,Egg-Carton,138,3.5,711
2024-01-17,Milk-1L,78,1.5,655
2024-01-17,Bread-White,129,2.0,605
2024-01-17,Egg-Carton,62,3.5,769
2024-01-18,Milk-1L,90,1.5,382
2024-01-18,Bread-White,97,2.0,343
2024-01-18,Egg-Carton,80,3.5,389
2024-01-19,Milk-1L,60,1.5,463
2024-01-19,Bread-White,76,2.0,353
2024-01-19,Egg-Carton,131,3.5,350
2024-01-20,Milk-1L,87,1.5,658
